district,okrug,is_new_moscow,n_secondary,lat,lon,to_center_km,avg_price_sqm_all,avg_price_sqm_no_premium,n_premium_secondary,n_rentals,avg_rent_sqm_all,avg_rent_sqm_no_premium,n_new_builds,avg_newbuild_sqm_all,payback_years,avg_newbuild_sqm_no_premium,newbuild_premium_pct,official_avg_price,official_diff_pct,n_matched_to_official,moscow_part,recommendation
Aeroport,SAO,False,393,55.8046,37.53505,7.88,218724.0,218724.0,0,150,1041.0,1041.0,0,,17.5,,,324903.0,-33.2,393,Старая Москва,нейтрально
Akademichesky,YuZAO,False,418,55.68764,37.57261,8.05,258922.0,255937.0,7,150,1200.0,1175.0,32,440106.0,18.2,440106.0,72.0,389411.0,-33.4,418,Старая Москва,выгодно снимать
Alekseevsky,SVAO,False,407,55.809,37.64881,6.47,215136.0,215136.0,0,150,976.0,976.0,68,218918.0,18.4,218918.0,1.8,313421.0,-31.4,407,Старая Москва,выгодно снимать
Altufyevsky,SVAO,False,407,55.88792,37.58734,15.09,142689.0,142689.0,0,161,714.0,714.0,102,175919.0,16.6,175919.0,23.3,240311.0,-41.1,407,Старая Москва,нейтрально
Arbat,CAO,False,399,55.75205,37.59367,2.19,514931.0,366588.0,334,156,2268.0,1680.0,42,581240.0,18.2,506167.0,38.1,670775.0,-23.3,399,Старая Москва,выгодно снимать
Babushkinsky,SVAO,False,392,55.86716,37.66432,12.93,161099.0,161099.0,0,138,831.0,831.0,39,212215.0,16.2,212215.0,31.7,263780.0,-38.6,392,Старая Москва,выгодно покупать
Basmanny,CAO,False,398,55.76508,37.67392,3.8,370504.0,331007.0,114,177,1663.0,1499.0,34,360882.0,18.4,360882.0,9.0,519480.0,-28.7,398,Старая Москва,выгодно снимать
Begovoy,SAO,False,434,55.78635,37.5537,5.69,268593.0,264716.0,10,137,1230.0,1220.0,66,340991.0,18.1,340991.0,28.8,349717.0,-24.1,434,Старая Москва,выгодно снимать
Beskudnikovsky,SAO,False,365,55.86918,37.54737,13.66,150228.0,150228.0,0,170,729.0,729.0,66,330024.0,17.2,330024.0,119.7,247701.0,-39.0,365,Старая Москва,нейтрально
Bibirevo,SVAO,False,414,55.88424,37.60279,14.58,150152.0,150152.0,0,162,738.0,738.0,29,196848.0,17.0,196848.0,31.1,248728.0,-39.4,414,Старая Москва,нейтрально
Biryulyovo Vostochnoye,YuAO,False,415,55.58321,37.67614,19.33,126542.0,126542.0,0,142,659.0,659.0,0,,16.0,,,222392.0,-43.6,415,Старая Москва,выгодно покупать
Biryulyovo Zapadnoye,YuAO,False,398,55.59227,37.64823,18.09,133606.0,133606.0,0,152,654.0,654.0,31,153603.0,17.0,153603.0,15.0,222816.0,-40.3,398,Старая Москва,нейтрально
Bogorodskoye,VAO,False,377,55.81738,37.71742,9.38,173698.0,173698.0,0,162,831.0,831.0,71,252075.0,17.4,252075.0,45.1,259595.0,-32.8,377,Старая Москва,нейтрально
