segment,source_table,moscow_part,period,median_price_sqm_all,median_price_sqm_no_premium,n_listings,n_premium
Аренда,rentals,Старая Москва,ALL,922,897,16591,1028
Аренда,rentals,Старая Москва,2021,805,783,3121,201
Аренда,rentals,Старая Москва,2022,860,840,3202,200
Аренда,rentals,Старая Москва,2023,955,931,3168,189
Аренда,rentals,Старая Москва,2024,994,968,3087,208
Аренда,rentals,Старая Москва,2025,969,947,3003,168
Аренда,rentals,Старая Москва,2026,996,970,1010,62
Аренда,rentals,Новая Москва,ALL,418,418,3409,0
Аренда,rentals,Новая Москва,2021,373,373,667,0
Аренда,rentals,Новая Москва,2022,396,396,667,0
Аренда,rentals,Новая Москва,2023,450,450,629,0
Аренда,rentals,Новая Москва,2024,444,444,618,0
Аренда,rentals,Новая Москва,2025,440,440,640,0
Аренда,rentals,Новая Москва,2026,452,452,188,0
Вторичка,secondary_market,Старая Москва,ALL,188500,182300,41522,2715
Вторичка,secondary_market,Старая Москва,2020,146900,142000,6532,430
Вторичка,secondary_market,Старая Москва,2021,172800,166600,6560,420
Вторичка,secondary_market,Старая Москва,2022,186000,179500,6636,448
Вторичка,secondary_market,Старая Москва,2023,200750,194300,6600,433
Вторичка,secondary_market,Старая Москва,2024,212700,205150,6611,429
Вторичка,secondary_market,Старая Москва,2025,206500,200250,6431,421
Вторичка,secondary_market,Старая Москва,2026,214000,206200,2152,134
Вторичка,secondary_market,Новая Москва,ALL,74800,74800,8478,0
Вторичка,secondary_market,Новая Москва,2020,58300,58300,1327,0
Вторичка,secondary_market,Новая Москва,2021,68200,68200,1323,0
Вторичка,secondary_market,Новая Москва,2022,72150,72150,1330,0
Вторичка,secondary_market,Новая Москва,2023,80900,80900,1364,0
Вторичка,secondary_market,Новая Москва,2024,85900,85900,1375,0
Вторичка,secondary_market,Новая Москва,2025,83000,83000,1316,0
Вторичка,secondary_market,Новая Москва,2026,87300,87300,443,0
Новостройки,new_builds,Старая Москва,ALL,258150,252400,6362,300
Новостройки,new_builds,Старая Москва,2021,232100,226600,1150,60
Новостройки,new_builds,Старая Москва,2022,239950,234700,1172,46
Новостройки,new_builds,Старая Москва,2023,265300,261600,1215,44
Новостройки,new_builds,Старая Москва,2024,278300,270450,1224,54
Новостройки,new_builds,Старая Москва,2025,274050,266800,1232,67
Новостройки,new_builds,Старая Москва,2026,276900,269050,369,29
Новостройки,new_builds,Новая Москва,ALL,114650,114650,1638,0
Новостройки,new_builds,Новая Москва,2021,103650,103650,330,0
Новостройки,new_builds,Новая Москва,2022,116100,116100,284,0
Новостройки,new_builds,Новая Москва,2023,116800,116800,332,0
Новостройки,new_builds,Новая Москва,2024,120000,120000,310,0
Новостройки,new_builds,Новая Москва,2025,121400,121400,295,0
Новостройки,new_builds,Новая Москва,2026,122800,122800,87,0
